country,year,years_since_2015,attack_type,target_industry,financial_loss_million,affected_users,loss_per_user_usd,attack_source,vulnerability_type,defense_mechanism,impact_level,resolution_time_hours,cluster,risk_profile
France,2015,0,Phishing,Retail,44.29,427167,103.68,Insider,Unpatched Software,Encryption,Low,11.0,2,Limited-Reach Low-Loss Events - Phishing-Led
USA,2015,0,SQL Injection,Telecommunications,88.6,916744,96.65,Nation-state,Social Engineering,Antivirus,High,47.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2023,8,SQL Injection,Healthcare,45.38,172628,262.88,Insider,Weak Passwords,Encryption,Low,4.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Japan,2021,6,Phishing,Healthcare,9.42,573560,16.42,Hacker Group,Social Engineering,Antivirus,Medium,9.0,1,Widespread Low-Loss Events - Phishing-Led
Brazil,2024,9,Ransomware,IT,71.55,902924,79.24,Unattributed,Social Engineering,Encryption,High,12.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
China,2023,8,Malware,Telecommunications,80.1,237658,337.04,Unattributed,Zero-day,Antivirus,High,26.0,0,High-Loss Targeted Events - DDoS-Led
Germany,2022,7,Phishing,Government,58.98,383945,153.62,Nation-state,Zero-day,Encryption,Medium,49.0,0,High-Loss Targeted Events - DDoS-Led
Japan,2021,6,Man-in-the-Middle,Telecommunications,18.91,549640,34.4,Nation-state,Social Engineering,Encryption,Medium,17.0,1,Widespread Low-Loss Events - Phishing-Led
China,2016,1,Malware,Healthcare,85.15,454802,187.22,Insider,Unpatched Software,Antivirus,High,48.0,0,High-Loss Targeted Events - DDoS-Led
Japan,2024,9,Phishing,Retail,94.75,478963,197.82,Insider,Zero-day,VPN,High,70.0,0,High-Loss Targeted Events - DDoS-Led
China,2020,5,SQL Injection,Healthcare,62.44,55719,1120.62,Unattributed,Unpatched Software,Firewall,Medium,71.0,0,High-Loss Targeted Events - DDoS-Led
Australia,2015,0,Phishing,Healthcare,76.4,108767,702.42,Nation-state,Unpatched Software,VPN,High,48.0,0,High-Loss Targeted Events - DDoS-Led
USA,2015,0,DDoS,IT,94.14,854005,110.23,Unattributed,Zero-day,AI-based Detection,High,14.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2019,4,SQL Injection,Education,89.48,682430,131.12,Hacker Group,Zero-day,VPN,High,5.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
India,2024,9,Ransomware,IT,33.66,131900,255.19,Unattributed,Unpatched Software,Antivirus,Low,21.0,2,Limited-Reach Low-Loss Events - Phishing-Led
China,2017,2,Phishing,IT,71.4,698847,102.17,Insider,Zero-day,AI-based Detection,Medium,17.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2020,5,Malware,Telecommunications,98.14,710142,138.2,Insider,Zero-day,AI-based Detection,High,56.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
UK,2024,9,Phishing,Government,30.68,393201,78.03,Nation-state,Social Engineering,Firewall,Low,3.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Japan,2024,9,Ransomware,Banking,24.22,584428,41.44,Nation-state,Weak Passwords,Firewall,Medium,34.0,1,Widespread Low-Loss Events - Phishing-Led
UK,2022,7,Phishing,Education,36.15,375734,96.21,Nation-state,Weak Passwords,AI-based Detection,Low,31.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Japan,2015,0,Malware,Telecommunications,28.8,915532,31.46,Insider,Zero-day,Encryption,High,68.0,1,Widespread Low-Loss Events - Phishing-Led
Australia,2020,5,Malware,Government,98.05,193983,505.46,Nation-state,Zero-day,Antivirus,High,31.0,0,High-Loss Targeted Events - DDoS-Led
India,2015,0,Phishing,Healthcare,76.08,471550,161.34,Unattributed,Zero-day,VPN,High,5.0,0,High-Loss Targeted Events - DDoS-Led
China,2017,2,Phishing,Retail,45.83,395251,115.95,Unattributed,Unpatched Software,Encryption,Low,33.0,2,Limited-Reach Low-Loss Events - Phishing-Led
France,2023,8,Man-in-the-Middle,Retail,9.43,565002,16.69,Hacker Group,Unpatched Software,Firewall,Medium,72.0,1,Widespread Low-Loss Events - Phishing-Led
France,2017,2,Phishing,Retail,90.69,275185,329.56,Nation-state,Zero-day,Encryption,High,20.0,0,High-Loss Targeted Events - DDoS-Led
USA,2024,9,Phishing,IT,58.57,630793,92.85,Hacker Group,Social Engineering,AI-based Detection,Medium,64.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2021,6,DDoS,Government,35.46,937562,37.82,Unattributed,Zero-day,Firewall,High,10.0,1,Widespread Low-Loss Events - Phishing-Led
India,2018,3,Ransomware,IT,27.14,227433,119.33,Unattributed,Unpatched Software,Antivirus,Low,13.0,2,Limited-Reach Low-Loss Events - Phishing-Led
China,2020,5,Man-in-the-Middle,Telecommunications,14.61,855055,17.09,Hacker Group,Unpatched Software,Antivirus,High,59.0,1,Widespread Low-Loss Events - Phishing-Led
France,2019,4,Phishing,Retail,25.75,998507,25.79,Insider,Weak Passwords,AI-based Detection,High,15.0,1,Widespread Low-Loss Events - Phishing-Led
UK,2019,4,Phishing,Banking,60.07,197590,304.01,Insider,Zero-day,Encryption,Medium,62.0,0,High-Loss Targeted Events - DDoS-Led
Japan,2019,4,Malware,IT,9.86,233545,42.22,Unattributed,Zero-day,Antivirus,Low,55.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2017,2,Malware,Government,66.25,726887,91.14,Hacker Group,Social Engineering,Firewall,Medium,13.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Russia,2016,1,Man-in-the-Middle,IT,48.86,973654,50.18,Unattributed,Unpatched Software,Encryption,High,23.0,1,Widespread Low-Loss Events - Phishing-Led
Australia,2019,4,SQL Injection,Healthcare,0.75,269314,2.78,Unattributed,Social Engineering,VPN,Low,64.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Russia,2021,6,Man-in-the-Middle,Banking,18.66,292992,63.69,Insider,Zero-day,Encryption,Low,15.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Brazil,2016,1,SQL Injection,Education,16.24,238092,68.21,Nation-state,Zero-day,AI-based Detection,Low,32.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Brazil,2019,4,DDoS,Telecommunications,59.86,899413,66.55,Nation-state,Weak Passwords,Encryption,High,11.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
USA,2024,9,Malware,Healthcare,69.46,187312,370.83,Nation-state,Zero-day,VPN,Medium,58.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2024,9,DDoS,IT,34.46,470727,73.21,Unattributed,Weak Passwords,Firewall,Low,8.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Brazil,2020,5,DDoS,Government,13.22,790415,16.73,Hacker Group,Zero-day,Encryption,High,52.0,1,Widespread Low-Loss Events - Phishing-Led
Germany,2020,5,Ransomware,IT,54.65,107180,509.89,Nation-state,Zero-day,Antivirus,Medium,68.0,0,High-Loss Targeted Events - DDoS-Led
China,2019,4,SQL Injection,Education,64.26,796878,80.64,Nation-state,Zero-day,Antivirus,High,26.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
France,2019,4,Malware,Education,31.35,312314,100.38,Unattributed,Social Engineering,AI-based Detection,Low,35.0,2,Limited-Reach Low-Loss Events - Phishing-Led
India,2016,1,Phishing,Banking,43.81,250482,174.9,Insider,Weak Passwords,VPN,Low,20.0,2,Limited-Reach Low-Loss Events - Phishing-Led
China,2021,6,SQL Injection,Healthcare,23.15,730762,31.68,Insider,Social Engineering,VPN,Medium,19.0,1,Widespread Low-Loss Events - Phishing-Led
India,2015,0,Man-in-the-Middle,Healthcare,29.54,837320,35.28,Unattributed,Social Engineering,VPN,High,14.0,1,Widespread Low-Loss Events - Phishing-Led
China,2023,8,SQL Injection,Banking,2.46,95779,25.68,Nation-state,Zero-day,VPN,Low,43.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2024,9,Man-in-the-Middle,IT,3.69,529410,6.97,Insider,Zero-day,Firewall,Medium,59.0,1,Widespread Low-Loss Events - Phishing-Led
France,2018,3,DDoS,Government,66.4,613192,108.29,Insider,Weak Passwords,VPN,Medium,50.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
China,2019,4,Phishing,IT,5.05,65176,77.48,Unattributed,Weak Passwords,Encryption,Low,49.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Japan,2022,7,Ransomware,IT,84.09,991854,84.78,Unattributed,Unpatched Software,VPN,High,11.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
China,2021,6,Phishing,Government,84.49,884734,95.5,Hacker Group,Weak Passwords,Encryption,High,6.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Brazil,2020,5,Ransomware,IT,56.59,679131,83.33,Hacker Group,Weak Passwords,AI-based Detection,Medium,55.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Germany,2023,8,Man-in-the-Middle,Education,26.14,876348,29.83,Unattributed,Social Engineering,Encryption,High,1.0,1,Widespread Low-Loss Events - Phishing-Led
China,2019,4,SQL Injection,Healthcare,79.28,891504,88.93,Insider,Zero-day,Firewall,High,63.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
France,2019,4,SQL Injection,Telecommunications,16.51,945154,17.47,Nation-state,Social Engineering,AI-based Detection,High,63.0,1,Widespread Low-Loss Events - Phishing-Led
Japan,2016,1,Malware,Telecommunications,87.52,476001,183.87,Hacker Group,Social Engineering,VPN,High,58.0,0,High-Loss Targeted Events - DDoS-Led
Australia,2020,5,Ransomware,Banking,97.48,647303,150.59,Insider,Zero-day,Antivirus,High,37.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Russia,2020,5,Ransomware,Telecommunications,58.73,345623,169.93,Unattributed,Weak Passwords,AI-based Detection,Medium,67.0,0,High-Loss Targeted Events - DDoS-Led
USA,2023,8,SQL Injection,IT,19.37,49480,391.47,Hacker Group,Social Engineering,Encryption,Low,17.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Brazil,2019,4,DDoS,Healthcare,42.16,400214,105.34,Unattributed,Zero-day,Firewall,Low,58.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Germany,2017,2,Ransomware,Retail,68.73,509742,134.83,Nation-state,Zero-day,Antivirus,Medium,43.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Russia,2022,7,DDoS,Healthcare,58.93,104121,565.98,Hacker Group,Zero-day,Firewall,Medium,15.0,0,High-Loss Targeted Events - DDoS-Led
USA,2024,9,Man-in-the-Middle,Education,53.59,810539,66.12,Unattributed,Weak Passwords,Antivirus,High,22.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
China,2023,8,Phishing,IT,43.58,169152,257.64,Nation-state,Unpatched Software,Encryption,Low,49.0,2,Limited-Reach Low-Loss Events - Phishing-Led
India,2022,7,SQL Injection,Education,61.41,995847,61.67,Nation-state,Social Engineering,Encryption,High,1.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
China,2017,2,DDoS,Government,57.34,171772,333.81,Nation-state,Social Engineering,Firewall,Medium,8.0,0,High-Loss Targeted Events - DDoS-Led
Australia,2016,1,DDoS,Healthcare,98.25,412019,238.46,Unattributed,Weak Passwords,Antivirus,High,34.0,0,High-Loss Targeted Events - DDoS-Led
UK,2015,0,Phishing,Banking,39.12,893284,43.79,Unattributed,Unpatched Software,AI-based Detection,High,21.0,1,Widespread Low-Loss Events - Phishing-Led
India,2021,6,Malware,Telecommunications,82.66,586,141058.02,Hacker Group,Zero-day,VPN,High,23.0,0,High-Loss Targeted Events - DDoS-Led
Germany,2020,5,SQL Injection,Healthcare,96.31,591828,162.73,Unattributed,Unpatched Software,Encryption,High,16.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
France,2017,2,SQL Injection,Healthcare,96.08,592364,162.2,Insider,Weak Passwords,Antivirus,High,21.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Germany,2021,6,Ransomware,IT,25.85,176331,146.6,Insider,Weak Passwords,Antivirus,Low,25.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Japan,2021,6,Phishing,Banking,82.85,854309,96.98,Insider,Zero-day,Antivirus,High,16.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2018,3,Ransomware,Education,82.89,336607,246.25,Unattributed,Zero-day,AI-based Detection,High,17.0,0,High-Loss Targeted Events - DDoS-Led
Germany,2019,4,Malware,Healthcare,98.45,32423,3036.42,Hacker Group,Weak Passwords,Antivirus,High,45.0,0,High-Loss Targeted Events - DDoS-Led
China,2018,3,Ransomware,Education,17.44,598614,29.13,Insider,Social Engineering,VPN,Medium,59.0,1,Widespread Low-Loss Events - Phishing-Led
Japan,2023,8,SQL Injection,Telecommunications,31.46,192430,163.49,Nation-state,Unpatched Software,AI-based Detection,Low,49.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2023,8,Malware,IT,82.38,386972,212.88,Insider,Unpatched Software,AI-based Detection,High,56.0,0,High-Loss Targeted Events - DDoS-Led
UK,2020,5,Phishing,Banking,3.84,241282,15.91,Hacker Group,Social Engineering,Encryption,Low,55.0,2,Limited-Reach Low-Loss Events - Phishing-Led
France,2015,0,SQL Injection,IT,43.86,72222,607.29,Unattributed,Weak Passwords,Firewall,Low,64.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2021,6,Phishing,IT,89.59,361270,247.99,Nation-state,Weak Passwords,VPN,High,31.0,0,High-Loss Targeted Events - DDoS-Led
USA,2016,1,DDoS,Retail,13.83,586557,23.58,Hacker Group,Social Engineering,AI-based Detection,Medium,37.0,1,Widespread Low-Loss Events - Phishing-Led
Brazil,2018,3,Phishing,Education,57.59,257681,223.49,Nation-state,Zero-day,Antivirus,Medium,40.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2020,5,Phishing,Banking,21.65,434936,49.78,Hacker Group,Zero-day,Encryption,Low,24.0,2,Limited-Reach Low-Loss Events - Phishing-Led
China,2022,7,DDoS,Retail,77.74,642501,121.0,Hacker Group,Zero-day,AI-based Detection,High,19.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
India,2015,0,Man-in-the-Middle,Healthcare,37.15,357124,104.03,Nation-state,Weak Passwords,Antivirus,Low,31.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Japan,2023,8,Man-in-the-Middle,IT,26.65,220769,120.71,Unattributed,Zero-day,VPN,Low,71.0,2,Limited-Reach Low-Loss Events - Phishing-Led
France,2017,2,Phishing,Retail,43.2,377252,114.51,Nation-state,Unpatched Software,Encryption,Low,8.0,2,Limited-Reach Low-Loss Events - Phishing-Led
France,2017,2,SQL Injection,Healthcare,42.8,683189,62.65,Unattributed,Zero-day,VPN,Medium,19.0,1,Widespread Low-Loss Events - Phishing-Led
Australia,2017,2,Malware,IT,33.34,673439,49.51,Insider,Weak Passwords,Firewall,Medium,13.0,1,Widespread Low-Loss Events - Phishing-Led
UK,2017,2,Man-in-the-Middle,Education,13.06,799627,16.33,Hacker Group,Weak Passwords,Antivirus,High,36.0,1,Widespread Low-Loss Events - Phishing-Led
UK,2022,7,DDoS,Retail,45.73,554585,82.46,Hacker Group,Social Engineering,VPN,Medium,63.0,1,Widespread Low-Loss Events - Phishing-Led
Australia,2018,3,DDoS,Education,79.5,636407,124.92,Hacker Group,Zero-day,Encryption,High,11.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2021,6,Malware,Retail,30.53,333238,91.62,Hacker Group,Social Engineering,Firewall,Low,20.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Brazil,2024,9,Man-in-the-Middle,Healthcare,61.55,218189,282.09,Unattributed,Weak Passwords,AI-based Detection,Medium,48.0,0,High-Loss Targeted Events - DDoS-Led
Australia,2023,8,Ransomware,Government,96.44,472878,203.94,Unattributed,Social Engineering,Firewall,High,37.0,0,High-Loss Targeted Events - DDoS-Led
China,2023,8,Man-in-the-Middle,Education,35.37,455900,77.58,Hacker Group,Zero-day,Antivirus,Low,11.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Japan,2023,8,SQL Injection,Government,69.61,391049,178.01,Unattributed,Weak Passwords,Antivirus,Medium,35.0,0,High-Loss Targeted Events - DDoS-Led
India,2021,6,Phishing,Retail,38.5,517843,74.35,Unattributed,Unpatched Software,VPN,Medium,69.0,1,Widespread Low-Loss Events - Phishing-Led
Japan,2017,2,SQL Injection,Healthcare,54.26,839368,64.64,Insider,Unpatched Software,Antivirus,High,40.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
UK,2016,1,Ransomware,Education,80.77,884536,91.31,Insider,Zero-day,Encryption,High,34.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2023,8,Phishing,IT,35.27,26036,1354.66,Hacker Group,Weak Passwords,VPN,Low,71.0,2,Limited-Reach Low-Loss Events - Phishing-Led
India,2017,2,Phishing,IT,93.62,899005,104.14,Insider,Weak Passwords,AI-based Detection,High,61.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2017,2,Man-in-the-Middle,Telecommunications,21.8,610106,35.73,Unattributed,Social Engineering,Encryption,Medium,39.0,1,Widespread Low-Loss Events - Phishing-Led
USA,2015,0,SQL Injection,Education,28.19,239853,117.53,Insider,Unpatched Software,Encryption,Low,64.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Japan,2020,5,DDoS,Education,39.33,267631,146.96,Hacker Group,Zero-day,AI-based Detection,Low,12.0,2,Limited-Reach Low-Loss Events - Phishing-Led
France,2018,3,Malware,Retail,80.37,339119,237.0,Unattributed,Unpatched Software,Encryption,High,29.0,0,High-Loss Targeted Events - DDoS-Led
USA,2016,1,Man-in-the-Middle,Banking,20.44,981595,20.82,Nation-state,Weak Passwords,Encryption,High,56.0,1,Widespread Low-Loss Events - Phishing-Led
France,2023,8,Ransomware,Education,54.26,21699,2500.58,Insider,Weak Passwords,AI-based Detection,Medium,32.0,0,High-Loss Targeted Events - DDoS-Led
Australia,2023,8,DDoS,IT,99.62,285609,348.8,Unattributed,Weak Passwords,Firewall,High,46.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2019,4,SQL Injection,Healthcare,91.03,86583,1051.36,Unattributed,Social Engineering,Firewall,High,47.0,0,High-Loss Targeted Events - DDoS-Led
France,2022,7,Malware,IT,6.51,82276,79.12,Insider,Zero-day,Firewall,Low,26.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Brazil,2024,9,Man-in-the-Middle,Healthcare,26.92,695427,38.71,Nation-state,Zero-day,Encryption,Medium,28.0,1,Widespread Low-Loss Events - Phishing-Led
India,2019,4,DDoS,Banking,35.31,961173,36.74,Insider,Social Engineering,VPN,High,37.0,1,Widespread Low-Loss Events - Phishing-Led
China,2018,3,Man-in-the-Middle,Healthcare,11.74,430760,27.25,Nation-state,Unpatched Software,Firewall,Low,63.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Brazil,2021,6,Malware,Banking,34.68,786462,44.1,Unattributed,Weak Passwords,Firewall,High,17.0,1,Widespread Low-Loss Events - Phishing-Led
India,2018,3,Phishing,Education,43.54,76479,569.31,Insider,Zero-day,Firewall,Low,4.0,2,Limited-Reach Low-Loss Events - Phishing-Led
India,2016,1,SQL Injection,Banking,4.31,520308,8.28,Insider,Zero-day,VPN,Medium,39.0,1,Widespread Low-Loss Events - Phishing-Led
Australia,2024,9,DDoS,Retail,28.16,411083,68.5,Unattributed,Weak Passwords,Firewall,Low,30.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Russia,2020,5,SQL Injection,Telecommunications,35.02,377194,92.84,Unattributed,Weak Passwords,Firewall,Low,50.0,2,Limited-Reach Low-Loss Events - Phishing-Led
India,2015,0,Ransomware,Education,96.03,898251,106.91,Hacker Group,Weak Passwords,Antivirus,High,70.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
USA,2015,0,Man-in-the-Middle,Retail,95.66,377602,253.34,Nation-state,Zero-day,Firewall,High,15.0,0,High-Loss Targeted Events - DDoS-Led
UK,2022,7,Man-in-the-Middle,IT,66.25,303838,218.04,Nation-state,Zero-day,AI-based Detection,Medium,56.0,0,High-Loss Targeted Events - DDoS-Led
Russia,2020,5,Ransomware,Banking,13.66,820140,16.66,Insider,Social Engineering,VPN,High,63.0,1,Widespread Low-Loss Events - Phishing-Led
Japan,2023,8,SQL Injection,Government,13.51,772948,17.48,Unattributed,Zero-day,VPN,High,43.0,1,Widespread Low-Loss Events - Phishing-Led
France,2022,7,Malware,Education,13.06,759625,17.19,Insider,Social Engineering,Encryption,High,14.0,1,Widespread Low-Loss Events - Phishing-Led
Japan,2023,8,Man-in-the-Middle,Banking,65.8,193620,339.84,Nation-state,Zero-day,VPN,Medium,67.0,0,High-Loss Targeted Events - DDoS-Led
China,2023,8,Man-in-the-Middle,IT,22.96,656090,35.0,Insider,Unpatched Software,Encryption,Medium,27.0,1,Widespread Low-Loss Events - Phishing-Led
Germany,2021,6,Ransomware,Healthcare,16.64,912847,18.23,Unattributed,Weak Passwords,Antivirus,High,27.0,1,Widespread Low-Loss Events - Phishing-Led
USA,2020,5,DDoS,Healthcare,38.14,846602,45.05,Insider,Weak Passwords,Firewall,High,31.0,1,Widespread Low-Loss Events - Phishing-Led
China,2022,7,Phishing,IT,41.81,631816,66.17,Unattributed,Weak Passwords,Firewall,Medium,29.0,1,Widespread Low-Loss Events - Phishing-Led
USA,2019,4,Ransomware,Telecommunications,65.7,51619,1272.79,Insider,Unpatched Software,VPN,Medium,3.0,0,High-Loss Targeted Events - DDoS-Led
Japan,2016,1,Man-in-the-Middle,Retail,58.77,172346,341.0,Nation-state,Social Engineering,AI-based Detection,Medium,51.0,0,High-Loss Targeted Events - DDoS-Led
India,2024,9,Phishing,Retail,92.48,32067,2883.96,Insider,Unpatched Software,Antivirus,High,19.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2020,5,Phishing,Government,76.95,476308,161.56,Insider,Social Engineering,VPN,High,44.0,0,High-Loss Targeted Events - DDoS-Led
Germany,2016,1,Ransomware,Education,24.4,908906,26.85,Hacker Group,Weak Passwords,AI-based Detection,High,46.0,1,Widespread Low-Loss Events - Phishing-Led
