country,year,attack_type,target_industry,financial_loss_million,affected_users,attack_source,vulnerability_type,defense_mechanism,resolution_time_hours,years_since_2015,loss_per_user_usd,impact_level
UK,2019,Malware,Telecommunications,14.01,578443,Insider,Social Engineering,Firewall,28.0,4,24.22019109920943,Medium
India,2016,DDoS,IT,36.45,261808,Nation-state,Social Engineering,AI-based Detection,6.0,1,139.22416427305507,Low
Brazil,2015,Ransomware,Retail,49.55,920172,Hacker Group,Weak Passwords,Antivirus,43.0,0,53.84862829992654,High
France,2023,Ransomware,Education,17.72,261661,Insider,Social Engineering,VPN,11.0,8,67.72121179694338,Low
India,2017,DDoS,Government,76.71,246205,Nation-state,Unpatched Software,Firewall,30.0,2,311.5696269369022,High
Japan,2022,Phishing,Telecommunications,20.42,186148,Nation-state,Weak Passwords,Antivirus,32.0,7,109.69765992651008,Low
Brazil,2023,DDoS,Telecommunications,51.84,699007,Hacker Group,Social Engineering,VPN,30.0,8,74.16234744430314,Medium
China,2021,Phishing,Retail,51.06,628562,Insider,Zero-day,AI-based Detection,52.0,6,81.23303667736835,Medium
Japan,2022,Malware,Education,53.04,570494,Nation-state,Unpatched Software,VPN,53.0,7,92.97205579725642,Medium
Japan,2022,Ransomware,Banking,26.17,937653,Insider,Unpatched Software,Encryption,24.0,7,27.910111736431283,High
France,2020,Malware,IT,87.32,599757,Unattributed,Social Engineering,Antivirus,9.0,5,145.59229821411006,High
Australia,2015,DDoS,Government,82.7,904805,Hacker Group,Zero-day,Encryption,61.0,0,91.40090958825382,High
UK,2022,SQL Injection,Education,66.24,678876,Hacker Group,Social Engineering,AI-based Detection,11.0,7,97.57304721333497,Medium
France,2020,Malware,Telecommunications,18.38,246900,Hacker Group,Zero-day,AI-based Detection,34.0,5,74.44309437019037,Low
India,2015,SQL Injection,IT,42.99,85255,Unattributed,Unpatched Software,Encryption,61.0,0,504.25195003225616,Low
Japan,2022,Phishing,Banking,98.47,972469,Nation-state,Zero-day,Antivirus,21.0,7,101.25772646737326,High
Brazil,2023,Phishing,Healthcare,14.51,113777,Nation-state,Weak Passwords,VPN,27.0,8,127.53016866326234,Low
Brazil,2020,Phishing,Banking,17.75,739540,Hacker Group,Zero-day,Encryption,31.0,5,24.001406279579196,Medium
China,2020,Man-in-the-Middle,Education,19.81,722788,Nation-state,Zero-day,Firewall,70.0,5,27.40775995174242,Medium
Japan,2021,SQL Injection,Retail,82.52,214372,Insider,Unpatched Software,Encryption,12.0,6,384.9383314985166,High
USA,2022,DDoS,Retail,32.53,235314,Insider,Weak Passwords,AI-based Detection,62.0,7,138.240818650824,Low
Brazil,2016,DDoS,Education,96.98,140812,Nation-state,Unpatched Software,VPN,71.0,1,688.7197113882339,High
Russia,2015,DDoS,Telecommunications,96.39,238356,Unattributed,Zero-day,AI-based Detection,3.0,0,404.3951064793838,High
India,2021,SQL Injection,IT,98.09,826976,Nation-state,Zero-day,VPN,57.0,6,118.61287389234995,High
UK,2019,Man-in-the-Middle,Retail,39.77,757694,Nation-state,Unpatched Software,Encryption,69.0,4,52.488207640551465,High
USA,2017,DDoS,IT,74.12,403108,Hacker Group,Zero-day,VPN,64.0,2,183.87131984480587,Medium
Australia,2020,DDoS,Banking,92.95,942890,Insider,Weak Passwords,Antivirus,19.0,5,98.57989797325244,High
France,2022,Malware,Healthcare,20.33,794906,Unattributed,Weak Passwords,AI-based Detection,36.0,7,25.575351047796847,High
Australia,2016,SQL Injection,Government,27.33,481293,Hacker Group,Unpatched Software,Antivirus,65.0,1,56.784536654387246,Low
India,2016,DDoS,Education,21.01,602692,Hacker Group,Unpatched Software,VPN,29.0,1,34.86026029879275,Medium
UK,2018,Man-in-the-Middle,Retail,13.66,455529,Hacker Group,Zero-day,Firewall,40.0,3,29.987113882980008,Low
Japan,2017,Phishing,Telecommunications,75.84,383395,Hacker Group,Zero-day,VPN,31.0,2,197.81165638571187,High
USA,2023,DDoS,Retail,59.69,113612,Hacker Group,Zero-day,VPN,70.0,8,525.384642467345,Medium
Australia,2019,Malware,Government,21.72,984411,Insider,Unpatched Software,Antivirus,17.0,4,22.063954994407823,High
UK,2015,Phishing,IT,85.58,17229,Hacker Group,Weak Passwords,AI-based Detection,30.0,0,4967.20645423414,High
France,2018,Phishing,Healthcare,75.11,581303,Insider,Social Engineering,Encryption,51.0,3,129.20972367250815,High
India,2019,Man-in-the-Middle,Education,10.8,799474,Nation-state,Zero-day,AI-based Detection,23.0,4,13.508882089974158,High
India,2020,DDoS,Banking,86.27,898655,Nation-state,Unpatched Software,AI-based Detection,10.0,5,95.99902075880065,High
UK,2021,Malware,Healthcare,67.1,698852,Unattributed,Weak Passwords,Antivirus,57.0,6,96.01460681231504,Medium
India,2018,DDoS,Healthcare,76.43,304162,Hacker Group,Unpatched Software,Firewall,56.0,3,251.2805675922699,High
Brazil,2015,Phishing,Banking,43.4,191625,Hacker Group,Social Engineering,VPN,65.0,0,226.4840182648402,Low
Australia,2024,Phishing,Education,93.32,93185,Unattributed,Unpatched Software,VPN,14.0,9,1001.4487310189409,High
India,2019,Phishing,Healthcare,35.6,40718,Nation-state,Zero-day,VPN,24.0,4,874.3062036445798,Low
China,2015,Phishing,Government,42.73,310574,Nation-state,Zero-day,Firewall,65.0,0,137.58395744653447,Low
India,2024,DDoS,Education,73.37,475719,Nation-state,Social Engineering,Firewall,52.0,9,154.22970282877077,Medium
UK,2018,Malware,Retail,73.18,404060,Unattributed,Weak Passwords,Antivirus,32.0,3,181.11171608177003,Medium
China,2024,Malware,Education,72.35,132726,Hacker Group,Zero-day,Firewall,55.0,9,545.1079667887226,Medium
UK,2016,DDoS,Banking,87.68,336376,Nation-state,Social Engineering,Firewall,11.0,1,260.66068922872023,High
Australia,2022,Malware,Healthcare,67.16,566437,Unattributed,Weak Passwords,Encryption,63.0,7,118.56570104000974,Medium
Russia,2017,Man-in-the-Middle,Education,83.43,313631,Nation-state,Weak Passwords,Antivirus,16.0,2,266.0132448641875,High
France,2016,DDoS,Banking,28.66,996004,Unattributed,Zero-day,VPN,28.0,1,28.774984839418316,High
China,2021,Phishing,Healthcare,55.04,871600,Insider,Unpatched Software,Firewall,29.0,6,63.14823313446535,High
Brazil,2015,DDoS,IT,43.51,940656,Unattributed,Weak Passwords,AI-based Detection,41.0,0,46.25495398955623,High
USA,2015,Ransomware,Telecommunications,20.73,297209,Nation-state,Social Engineering,Firewall,66.0,0,69.74889724066229,Low
UK,2019,Phishing,IT,78.19,28321,Insider,Unpatched Software,Antivirus,63.0,4,2760.8488400833303,High
Brazil,2022,Phishing,Telecommunications,29.02,456783,Nation-state,Zero-day,Encryption,10.0,7,63.531261014529875,Low
Germany,2018,Ransomware,Banking,87.56,933028,Nation-state,Unpatched Software,VPN,25.0,3,93.84498643127537,High
Australia,2023,Phishing,Telecommunications,24.65,221512,Nation-state,Zero-day,AI-based Detection,56.0,8,111.28065296688216,Low
France,2017,Phishing,Banking,17.88,16585,Hacker Group,Unpatched Software,Encryption,12.0,2,1078.0826047633404,Low
USA,2022,Ransomware,Education,21.01,787752,Nation-state,Weak Passwords,Antivirus,9.0,7,26.670830413632718,High
Russia,2022,SQL Injection,Banking,60.25,662517,Unattributed,Social Engineering,Firewall,40.0,7,90.94106264443026,Medium
Brazil,2018,Malware,Education,6.63,274509,Hacker Group,Zero-day,Encryption,20.0,3,24.15221358862551,Low
France,2024,Phishing,Government,5.8,508649,Hacker Group,Unpatched Software,Firewall,66.0,9,11.402755141561274,Medium
Brazil,2021,DDoS,IT,70.26,740257,Unattributed,Weak Passwords,Encryption,70.0,6,94.91298292349819,Medium
Australia,2024,Malware,Healthcare,62.08,969504,Hacker Group,Social Engineering,AI-based Detection,5.0,9,64.03274251576063,High
Germany,2016,Man-in-the-Middle,Healthcare,90.2,779494,Nation-state,Social Engineering,AI-based Detection,54.0,1,115.71609274734635,High
Japan,2019,Malware,Banking,44.17,605166,Insider,Weak Passwords,Encryption,27.0,4,72.9882379380203,Medium
France,2023,Malware,Government,55.18,274946,Insider,Zero-day,Encryption,66.0,8,200.6939544492373,Medium
Japan,2019,Man-in-the-Middle,Banking,41.32,645097,Nation-state,Zero-day,Firewall,36.0,4,64.05238281994801,Medium
UK,2015,DDoS,Telecommunications,32.92,157678,Nation-state,Unpatched Software,Antivirus,68.0,0,208.77991856822132,Low
Brazil,2022,DDoS,Retail,15.16,157034,Nation-state,Social Engineering,AI-based Detection,69.0,7,96.53960288854643,Low
India,2020,SQL Injection,Education,62.5,550656,Nation-state,Weak Passwords,Encryption,4.0,5,113.50098791259879,Medium
Australia,2017,SQL Injection,Healthcare,68.91,634048,Hacker Group,Unpatched Software,Firewall,66.0,2,108.68262339759765,Medium
UK,2023,DDoS,Banking,81.26,547495,Nation-state,Weak Passwords,AI-based Detection,3.0,8,148.4214467712034,High
UK,2024,DDoS,Healthcare,58.31,487694,Hacker Group,Weak Passwords,Antivirus,41.0,9,119.56267659639036,Medium
France,2023,Man-in-the-Middle,Retail,88.65,427067,Hacker Group,Unpatched Software,Antivirus,42.0,8,207.57867032573344,High
Australia,2023,Malware,Telecommunications,1.51,954902,Hacker Group,Unpatched Software,AI-based Detection,55.0,8,1.5813141034367926,High
UK,2020,Ransomware,Banking,49.23,128594,Nation-state,Weak Passwords,Firewall,53.0,5,382.8327915765899,Low
Germany,2024,Phishing,Healthcare,84.53,189430,Nation-state,Social Engineering,Firewall,1.0,9,446.23343715356594,High
France,2021,DDoS,Healthcare,90.63,603327,Nation-state,Unpatched Software,AI-based Detection,15.0,6,150.21704647728347,High
UK,2021,DDoS,Education,80.26,276593,Nation-state,Social Engineering,Encryption,36.0,6,290.1736486462058,High
Japan,2023,Malware,Education,22.87,975282,Insider,Unpatched Software,Firewall,49.0,8,23.449627902493845,High
India,2018,Ransomware,Retail,23.79,486810,Hacker Group,Unpatched Software,Antivirus,11.0,3,48.86916866950145,Low
Japan,2021,Ransomware,IT,35.43,969517,Hacker Group,Weak Passwords,Firewall,25.0,6,36.54396983240108,High
Australia,2022,Malware,Banking,74.77,151599,Insider,Zero-day,Encryption,18.0,7,493.20905810724344,High
Japan,2022,SQL Injection,IT,66.66,749545,Unattributed,Social Engineering,AI-based Detection,30.0,7,88.93395326498076,High
Brazil,2015,Malware,Retail,78.13,71743,Hacker Group,Unpatched Software,VPN,35.0,0,1089.0261070766485,High
Germany,2018,Phishing,Banking,11.39,969684,Hacker Group,Weak Passwords,Antivirus,41.0,3,11.74609460401533,High
Germany,2020,SQL Injection,Education,87.84,842506,Unattributed,Weak Passwords,Antivirus,19.0,5,104.26038508924566,High
Brazil,2023,Man-in-the-Middle,IT,10.18,933883,Nation-state,Social Engineering,Encryption,41.0,8,10.900723109854232,High
UK,2019,Malware,Education,4.42,393748,Nation-state,Unpatched Software,AI-based Detection,10.0,4,11.225453843575078,Low
Brazil,2020,DDoS,Banking,76.98,708549,Unattributed,Weak Passwords,Encryption,37.0,5,108.64456798330109,High
Japan,2020,DDoS,Healthcare,73.24,136762,Unattributed,Zero-day,VPN,41.0,5,535.5288749798921,Medium
Russia,2018,Malware,Telecommunications,8.11,737958,Unattributed,Social Engineering,VPN,35.0,3,10.989785326536197,Medium
Japan,2020,Man-in-the-Middle,Banking,23.55,108886,Insider,Unpatched Software,Antivirus,51.0,5,216.28124827801554,Low
Australia,2016,Phishing,Banking,92.79,285311,Nation-state,Unpatched Software,VPN,55.0,1,325.22405375187077,High
USA,2021,Malware,Retail,71.11,961868,Hacker Group,Unpatched Software,Antivirus,57.0,6,73.92906303151784,High
Australia,2023,Man-in-the-Middle,Banking,57.34,471743,Unattributed,Zero-day,Firewall,29.0,8,121.54923337495204,Medium
UK,2024,Phishing,Government,81.26,993903,Unattributed,Weak Passwords,Firewall,25.0,9,81.75848146147058,High
China,2024,Ransomware,Telecommunications,7.32,179156,Nation-state,Social Engineering,AI-based Detection,34.0,9,40.85824644443948,Low
Germany,2022,Man-in-the-Middle,Healthcare,56.27,699129,Nation-state,Unpatched Software,Encryption,25.0,7,80.48586169362163,Medium
Russia,2021,Malware,IT,83.76,920983,Insider,Social Engineering,Encryption,24.0,6,90.94630411201943,High
UK,2023,SQL Injection,Banking,85.64,875790,Nation-state,Unpatched Software,Firewall,36.0,8,97.78599892668333,High
Russia,2016,Malware,Retail,61.39,415274,Hacker Group,Weak Passwords,Encryption,40.0,1,147.83010735080936,Medium
Russia,2023,Ransomware,Banking,42.14,222293,Hacker Group,Social Engineering,VPN,38.0,8,189.56962207536898,Low
France,2021,Man-in-the-Middle,Retail,94.4,357092,Unattributed,Unpatched Software,VPN,71.0,6,264.35764452858086,High
Australia,2021,Malware,Telecommunications,84.68,708291,Hacker Group,Zero-day,AI-based Detection,54.0,6,119.55538048626906,High
Russia,2024,Malware,Banking,93.33,517610,Nation-state,Social Engineering,Firewall,35.0,9,180.30949943007283,High
Germany,2023,Malware,Government,70.46,368803,Hacker Group,Unpatched Software,VPN,23.0,8,191.05050663904578,Medium
China,2023,Man-in-the-Middle,Healthcare,48.71,421191,Nation-state,Unpatched Software,Firewall,62.0,8,115.64824509545551,Low
India,2018,Phishing,IT,69.03,282139,Hacker Group,Unpatched Software,Encryption,37.0,3,244.66663594894715,Medium
China,2018,Malware,IT,49.19,117543,Insider,Social Engineering,Encryption,22.0,3,418.48515011527695,Low
France,2016,Phishing,Government,27.2,536925,Unattributed,Zero-day,Encryption,62.0,1,50.65884434511338,Medium
France,2023,Ransomware,Retail,64.08,238068,Unattributed,Unpatched Software,VPN,61.0,8,269.1667926810827,Medium
Japan,2022,Malware,Telecommunications,38.46,39814,Insider,Social Engineering,VPN,32.0,7,965.9918621590396,Low
India,2018,DDoS,Government,80.89,268956,Nation-state,Zero-day,Antivirus,47.0,3,300.7555139130564,High
France,2015,Malware,Education,15.76,424,Nation-state,Unpatched Software,Antivirus,58.0,0,37169.811320754714,Low
USA,2021,SQL Injection,Telecommunications,82.24,982969,Unattributed,Unpatched Software,Encryption,64.0,6,83.66489685839534,High
Germany,2021,Malware,Government,82.72,219703,Nation-state,Social Engineering,Firewall,33.0,6,376.5082861863516,High
Japan,2016,Man-in-the-Middle,Retail,18.96,530947,Nation-state,Unpatched Software,VPN,12.0,1,35.7097789421543,Medium
UK,2017,SQL Injection,IT,53.39,576110,Insider,Unpatched Software,Antivirus,37.0,2,92.67327420110743,Medium
UK,2017,Man-in-the-Middle,Government,48.9,177154,Unattributed,Zero-day,Antivirus,68.0,2,276.03102385495106,Low
France,2017,SQL Injection,Healthcare,60.77,212177,Hacker Group,Social Engineering,Encryption,2.0,2,286.4118165493904,Medium
Germany,2021,DDoS,Banking,91.24,8787,Hacker Group,Unpatched Software,Encryption,55.0,6,10383.521110731763,High
USA,2015,Phishing,Education,41.36,291727,Insider,Social Engineering,Encryption,31.0,0,141.77638682741056,Low
Germany,2022,DDoS,IT,78.18,987652,Hacker Group,Social Engineering,VPN,72.0,7,79.15743601997465,High
China,2022,Ransomware,Telecommunications,16.16,236284,Unattributed,Social Engineering,Antivirus,38.0,7,68.39227370452507,Low
USA,2020,Man-in-the-Middle,Telecommunications,15.63,209853,Nation-state,Zero-day,VPN,1.0,5,74.4807079241183,Low
Australia,2020,DDoS,Retail,36.29,755621,Unattributed,Zero-day,Antivirus,50.0,5,48.026722391251695,High
France,2015,SQL Injection,Retail,61.41,694844,Insider,Unpatched Software,Antivirus,43.0,0,88.37954994214529,Medium
France,2018,SQL Injection,Retail,53.72,795831,Nation-state,Unpatched Software,Encryption,61.0,3,67.50176859157284,High
Brazil,2020,DDoS,Retail,17.4,342253,Unattributed,Weak Passwords,Encryption,22.0,5,50.83958358290504,Low
USA,2016,Phishing,Retail,75.94,638693,Nation-state,Weak Passwords,AI-based Detection,35.0,1,118.89906418263547,High
USA,2018,Phishing,Banking,55.9,618616,Insider,Zero-day,VPN,51.0,3,90.36300386669598,Medium
Brazil,2023,SQL Injection,Retail,56.76,774426,Hacker Group,Social Engineering,AI-based Detection,21.0,8,73.29299377861797,High
Australia,2023,DDoS,Government,76.25,900661,Insider,Unpatched Software,Encryption,64.0,8,84.66004412314955,High
India,2019,Phishing,Telecommunications,75.23,141627,Insider,Unpatched Software,AI-based Detection,64.0,4,531.1840256448276,High
Germany,2024,Phishing,IT,3.93,845785,Unattributed,Unpatched Software,VPN,69.0,9,4.646570937058472,High
Australia,2015,Malware,Retail,99.41,120048,Insider,Zero-day,Antivirus,12.0,0,828.0854324936691,High
USA,2016,Malware,Retail,32.89,894935,Unattributed,Social Engineering,AI-based Detection,31.0,1,36.75127243878047,High
Japan,2017,SQL Injection,Healthcare,21.66,277555,Unattributed,Social Engineering,AI-based Detection,45.0,2,78.03858694673127,Low
Australia,2024,Ransomware,Education,85.86,461012,Insider,Unpatched Software,AI-based Detection,38.0,9,186.242440543847,High
Russia,2021,SQL Injection,Telecommunications,80.23,599291,Nation-state,Social Engineering,Firewall,55.0,6,133.87486212874882,High
Australia,2016,Man-in-the-Middle,Government,31.92,163602,Hacker Group,Unpatched Software,VPN,26.0,1,195.10763927091355,Low
UK,2021,SQL Injection,Government,39.03,986196,Nation-state,Weak Passwords,Encryption,11.0,6,39.57631140260151,High
France,2024,Ransomware,Retail,99.03,349008,Nation-state,Zero-day,Encryption,20.0,9,283.7470774308898,High
Germany,2022,SQL Injection,Retail,25.1,559667,Unattributed,Zero-day,Antivirus,69.0,7,44.84809717206839,Medium
Russia,2018,DDoS,Healthcare,67.27,335628,Hacker Group,Weak Passwords,Antivirus,20.0,3,200.43023823995614,Medium
Germany,2016,Ransomware,Education,29.89,385363,Unattributed,Unpatched Software,Firewall,22.0,1,77.56323258849449,Low
USA,2021,Man-in-the-Middle,Education,15.92,945793,Insider,Zero-day,Firewall,32.0,6,16.832435850127883,High
Russia,2016,SQL Injection,Telecommunications,95.93,595950,Nation-state,Social Engineering,AI-based Detection,11.0,1,160.9698800234919,High
Japan,2022,DDoS,Education,12.61,756722,Nation-state,Weak Passwords,VPN,15.0,7,16.663979638493398,High
Australia,2024,Ransomware,Government,39.92,594424,Hacker Group,Social Engineering,Antivirus,54.0,9,67.15744990108071,Medium
China,2015,Malware,Retail,19.36,457790,Hacker Group,Zero-day,Encryption,39.0,0,42.2901330304288,Low
China,2024,Ransomware,Telecommunications,70.47,549337,Unattributed,Social Engineering,Antivirus,63.0,9,128.28191073967346,Medium
France,2023,Malware,Healthcare,53.34,714681,Unattributed,Unpatched Software,Firewall,34.0,8,74.63469715859243,Medium
India,2022,Malware,Government,84.15,849745,Hacker Group,Social Engineering,Antivirus,51.0,7,99.0297089126738,High
Brazil,2019,SQL Injection,Banking,27.64,826256,Nation-state,Zero-day,VPN,50.0,4,33.452102011967234,High
UK,2017,DDoS,IT,9.01,617543,Unattributed,Zero-day,Antivirus,43.0,2,14.590077128232366,Medium
USA,2017,SQL Injection,Banking,9.08,895507,Unattributed,Social Engineering,AI-based Detection,52.0,2,10.13950756387164,High
UK,2020,SQL Injection,Healthcare,67.9,2233,Unattributed,Social Engineering,Antivirus,45.0,5,30407.523510971787,Medium
Japan,2022,Phishing,Government,71.12,76776,Unattributed,Unpatched Software,Firewall,42.0,7,926.3311451495259,Medium
China,2019,Ransomware,Retail,6.08,175261,Nation-state,Zero-day,VPN,64.0,4,34.69111781856773,Low
Australia,2016,Man-in-the-Middle,Healthcare,90.85,746369,Insider,Unpatched Software,Antivirus,30.0,1,121.72263317474332,High
Australia,2017,Malware,Healthcare,77.32,563706,Nation-state,Unpatched Software,AI-based Detection,35.0,2,137.16369880753442,High
India,2022,DDoS,Healthcare,12.01,254980,Insider,Unpatched Software,AI-based Detection,58.0,7,47.10173346929171,Low
Russia,2021,Malware,Education,0.54,869574,Unattributed,Unpatched Software,Antivirus,16.0,6,0.6209937279633476,High
Russia,2015,Malware,IT,95.33,282598,Unattributed,Zero-day,VPN,21.0,0,337.3343052675532,High
Brazil,2023,Malware,Telecommunications,62.77,422623,Nation-state,Zero-day,AI-based Detection,55.0,8,148.52480816235746,Medium
Brazil,2021,Malware,Healthcare,83.06,937717,Unattributed,Unpatched Software,Encryption,56.0,6,88.57683074957583,High
India,2021,Man-in-the-Middle,Telecommunications,71.64,416077,Insider,Social Engineering,VPN,39.0,6,172.17966866709767,Medium
Australia,2019,Man-in-the-Middle,Banking,47.67,112313,Insider,Social Engineering,Firewall,63.0,4,424.4388450134891,Low
Australia,2017,Man-in-the-Middle,Telecommunications,79.72,799971,Insider,Zero-day,Firewall,63.0,2,99.65361244345108,High
Japan,2018,Man-in-the-Middle,Retail,47.11,690595,Hacker Group,Social Engineering,Antivirus,71.0,3,68.21653791295911,Medium
India,2017,Man-in-the-Middle,Government,69.69,713419,Hacker Group,Unpatched Software,AI-based Detection,70.0,2,97.68453040919852,Medium
Australia,2022,Man-in-the-Middle,Healthcare,81.31,707365,Hacker Group,Zero-day,Antivirus,38.0,7,114.94772854184191,High
Brazil,2016,Malware,Healthcare,83.88,155059,Unattributed,Unpatched Software,Antivirus,29.0,1,540.9553782753661,High
Russia,2022,Phishing,Banking,85.01,923558,Insider,Weak Passwords,Encryption,41.0,7,92.04619525790476,High
Germany,2022,DDoS,Telecommunications,20.55,239313,Nation-state,Social Engineering,AI-based Detection,6.0,7,85.87080517982726,Low
Russia,2023,Ransomware,Telecommunications,60.08,874485,Hacker Group,Weak Passwords,Antivirus,48.0,8,68.70329393871822,High
Russia,2016,SQL Injection,Healthcare,46.95,90895,Unattributed,Social Engineering,VPN,29.0,1,516.5300621596348,Low
China,2015,Man-in-the-Middle,Retail,47.2,529593,Hacker Group,Zero-day,VPN,64.0,0,89.12504508178922,Medium
Germany,2018,Phishing,Government,46.92,610201,Nation-state,Weak Passwords,VPN,72.0,3,76.89269601328087,Medium
USA,2021,DDoS,Telecommunications,1.98,863623,Hacker Group,Weak Passwords,Firewall,24.0,6,2.2926670549533767,High
USA,2018,Malware,Healthcare,14.28,755771,Insider,Weak Passwords,Antivirus,44.0,3,18.89461225688734,High
Japan,2021,SQL Injection,Telecommunications,66.23,164032,Unattributed,Social Engineering,Firewall,5.0,6,403.7626804525947,Medium
Russia,2019,Man-in-the-Middle,Telecommunications,95.66,259993,Nation-state,Weak Passwords,Antivirus,58.0,4,367.9329828110757,High
UK,2019,Phishing,Retail,90.13,232359,Unattributed,Social Engineering,Firewall,17.0,4,387.89115119276636,High
Germany,2018,Phishing,Telecommunications,84.9,800031,Unattributed,Unpatched Software,Encryption,10.0,3,106.12088781559714,High
UK,2016,Phishing,Healthcare,71.19,925040,Unattributed,Unpatched Software,Encryption,48.0,1,76.95883421257459,High
Brazil,2016,Malware,IT,99.29,273469,Insider,Social Engineering,AI-based Detection,67.0,1,363.0758879434232,High
Germany,2024,Malware,Banking,22.84,797768,Insider,Zero-day,Firewall,58.0,9,28.62987735782834,High
Japan,2022,DDoS,Education,82.19,905203,Hacker Group,Weak Passwords,Antivirus,37.0,7,90.79731286794232,High
India,2023,Phishing,Telecommunications,11.72,512291,Insider,Zero-day,AI-based Detection,51.0,8,22.877622288894397,Medium
UK,2017,Phishing,Telecommunications,27.08,416833,Insider,Social Engineering,VPN,9.0,2,64.96606554663379,Low
UK,2015,Ransomware,Government,30.74,744505,Nation-state,Unpatched Software,Antivirus,43.0,0,41.289178716059666,Medium
Brazil,2020,Malware,Banking,79.61,755029,Nation-state,Weak Passwords,Firewall,27.0,5,105.43965860913951,High
Brazil,2017,Malware,Banking,99.22,660182,Insider,Weak Passwords,AI-based Detection,21.0,2,150.29188920630978,High
India,2016,Ransomware,Retail,29.48,403737,Insider,Zero-day,Firewall,26.0,1,73.0178309146796,Low
China,2019,DDoS,Retail,7.87,86783,Nation-state,Weak Passwords,Antivirus,12.0,4,90.68596384084441,Low
Australia,2022,DDoS,Telecommunications,86.77,390083,Nation-state,Social Engineering,VPN,72.0,7,222.4398397264172,High
Brazil,2023,Man-in-the-Middle,Banking,20.15,376174,Unattributed,Social Engineering,Firewall,43.0,8,53.56563717853972,Low
UK,2022,Ransomware,Government,31.94,485080,Insider,Weak Passwords,Antivirus,61.0,7,65.844809103653,Low
France,2024,Ransomware,Banking,78.82,759804,Unattributed,Unpatched Software,AI-based Detection,47.0,9,103.73727961421629,High
Japan,2017,Phishing,IT,65.62,286208,Hacker Group,Zero-day,Firewall,57.0,2,229.2738148479428,Medium
USA,2017,Malware,IT,75.53,992377,Nation-state,Unpatched Software,Antivirus,33.0,2,76.11018796284074,High
USA,2021,Man-in-the-Middle,Education,36.06,48987,Unattributed,Zero-day,VPN,58.0,6,736.1136628085002,Low
Russia,2021,SQL Injection,Telecommunications,68.07,538602,Insider,Unpatched Software,VPN,19.0,6,126.38274644357058,Medium
Japan,2015,Malware,Healthcare,26.29,808392,Hacker Group,Weak Passwords,AI-based Detection,4.0,0,32.52135102771923,High
UK,2015,Ransomware,IT,26.12,21580,Unattributed,Weak Passwords,AI-based Detection,14.0,0,1210.379981464319,Low
France,2020,Phishing,Government,94.44,209658,Insider,Zero-day,VPN,11.0,5,450.4478722490914,High
Japan,2017,Man-in-the-Middle,Retail,74.12,559889,Nation-state,Zero-day,VPN,10.0,2,132.38338313487137,Medium
France,2015,SQL Injection,Government,12.92,344516,Insider,Zero-day,VPN,28.0,0,37.50188670482648,Low
Australia,2024,Phishing,Retail,73.43,897569,Hacker Group,Social Engineering,AI-based Detection,66.0,9,81.80986642809634,High
Australia,2023,SQL Injection,Healthcare,99.19,538688,Nation-state,Zero-day,Encryption,36.0,8,184.13255910657003,High
